caseID	channel	source
000	0	gen
000	1	gen
000	2	gen
000	3	gen
000	4	gen
000	5	gen
001	0	gen
001	1	gen
001	2	gen
001	3	gen
001	4	gen
001	5	gen
002	0	gen
002	1	gen
002	2	gen
002	3	gen
002	4	gen
002	5	gen
003	0	gen
003	1	gen
003	2	gen
003	3	gen
003	4	gen
003	5	gen
004	0	gen
004	1	gen
004	2	gen
004	3	gen
004	4	gen
004	5	gen
005	0	gen
005	1	gen
005	2	gen
005	3	gen
005	4	gen
005	5	gen
006	0	gen
006	1	gen
006	2	gen
006	3	gen
006	4	gen
006	5	gen
007	0	gen
007	1	gen
007	2	gen
007	3	gen
007	4	gen
007	5	gen
008	0	gen
008	1	gen
008	2	gen
008	3	gen
008	4	gen
008	5	gen
009	0	gen
009	1	gen
009	2	gen
009	3	gen
009	4	gen
009	5	gen
010	0	gen
010	1	gen
010	2	gen
010	3	gen
010	4	gen
010	5	gen
011	0	gen
011	1	gen
011	2	gen
011	3	gen
011	4	gen
011	5	gen
012	0	gen
012	1	gen
012	2	gen
012	3	gen
012	4	gen
012	5	gen
013	0	gen
013	1	gen
013	2	gen
013	3	gen
013	4	gen
013	5	gen
014	0	gen
014	1	gen
014	2	gen
014	3	gen
014	4	gen
014	5	gen
015	0	gen
015	1	gen
015	2	gen
015	3	gen
015	4	gen
015	5	gen
