caseID	channel	source
000	0	real
000	1	real
000	2	real
000	3	gen
000	4	real
000	5	real
001	0	real
001	1	real
001	2	real
001	3	gen
001	4	real
001	5	real
002	0	real
002	1	real
002	2	real
002	3	gen
002	4	real
002	5	real
003	0	real
003	1	real
003	2	real
003	3	gen
003	4	real
003	5	real
004	0	real
004	1	real
004	2	real
004	3	gen
004	4	real
004	5	real
005	0	real
005	1	real
005	2	real
005	3	gen
005	4	real
005	5	real
006	0	real
006	1	real
006	2	real
006	3	gen
006	4	real
006	5	real
007	0	real
007	1	real
007	2	real
007	3	gen
007	4	real
007	5	real
008	0	real
008	1	real
008	2	real
008	3	gen
008	4	real
008	5	real
009	0	real
009	1	real
009	2	real
009	3	gen
009	4	real
009	5	real
010	0	real
010	1	real
010	2	real
010	3	gen
010	4	real
010	5	real
011	0	real
011	1	real
011	2	real
011	3	gen
011	4	real
011	5	real
012	0	real
012	1	real
012	2	real
012	3	gen
012	4	real
012	5	real
013	0	real
013	1	real
013	2	real
013	3	gen
013	4	real
013	5	real
014	0	real
014	1	real
014	2	real
014	3	gen
014	4	real
014	5	real
015	0	real
015	1	real
015	2	real
015	3	gen
015	4	real
015	5	real
